"観光地区名","和歌山","大　阪","京　都","兵　庫","奈　良","滋　賀","三　重","四　国","中　国","東　 海","北　陸","関　東","東　北","北海道","九州沖縄","外国人","不　明","計"
"熊野本宮温泉郷_宿泊者数","28698.0","21090.0","3737.0","6738.0","3862.0","1598.0","3946.0","2334.0","2459.0","15616.0","1223.0","32302.0","1514.0","889.0","1764.0","11162.0","0.0","138932.0"
"熊野本宮温泉郷_構成率","0.20656148331557883","0.15180088100653558","0.026898050845017705","0.04849854605130567","0.027797771571704145","0.011502029769959404","0.02840238390003743","0.016799585408689144","0.01769930613537558","0.11240031094348314","0.008802867589900095","0.2325022313074022","0.010897417441626119","0.006398813808193937","0.012696858894998992","0.08034146201019203","0.0","1.0"
"新宮・瀞峡_宿泊者数","2581.0","19773.0","4193.0","933.0","4889.0","1582.0","4570.0","366.0","720.0","33947.0","483.0","54448.0","392.0","307.0","256.0","3621.0","17.0","133078.0"
"新宮・瀞峡_構成率","0.019394640737011377","0.14858203459625183","0.031507837508829406","0.007010925923142819","0.03673785298847292","0.011887765070109258","0.03434076256030298","0.002750266760847022","0.005410360841010535","0.2550909992635898","0.003629450397511234","0.4091435098213078","0.0029456409023279582","0.0023069177474864364","0.0019236838545815236","0.027209606396248816","0.0001277446309683043","1.0"
"海南生石山　周辺_宿泊者数","14418.0","32458.0","2152.0","4420.0","1944.0","538.0","366.0","859.0","1047.0","1225.0","358.0","2069.0","254.0","575.0","483.0","3252.0","644.0","67062.0"
"海南生石山　周辺_構成率","0.21499507918045987","0.4839998807074051","0.032089708031373954","0.06590915868897439","0.028988100563657512","0.008022427007843488","0.005457636217231815","0.012809042378694343","0.015612418359130357","0.018266678595926157","0.005338343622319644","0.03085204735916018","0.0037875398884614237","0.008574155259312278","0.007202290417822313","0.04849243983179744","0.009603053890429751","1.0"
"紀　　仙　　郷_宿泊者数","6626.0","7141.0","1587.0","2636.0","1019.0","1306.0","929.0","1445.0","1654.0","3679.0","1787.0","4966.0","924.0","592.0","1174.0","10445.0","4665.0","52575.0"
"紀　　仙　　郷_構成率","0.12602948169281977","0.13582501188777937","0.030185449358059915","0.05013789824060865","0.01938183547313362","0.02484070375653828","0.017669995244888256","0.02748454588682834","0.031459819305753686","0.06997622444127437","0.03398953875416072","0.09445553970518307","0.017574893009985736","0.011260104612458393","0.022330004755111744","0.1986685687113647","0.08873038516405135","1.0"
"橋本周辺_宿泊者数","26711.0","30171.0","2807.0","3823.0","3249.0","1115.0","901.0","1030.0","1845.0","9520.0","1976.0","4670.0","1820.0","1870.0","2164.0","6052.0","388.0","100112.0"
"橋本周辺_構成率","0.26681117148793354","0.3013724628416174","0.02803859677161579","0.03818723030206169","0.03245365190986096","0.011137525970912578","0.00899992008949976","0.01028847690586543","0.018429359117788077","0.09509349528528048","0.01973789355921368","0.04664775451494326","0.018179638804538916","0.01867907943103724","0.02161579031484737","0.06045229343135688","0.003875659261626978","1.0"
"そ　の　他_宿泊者数","13529.0","26629.0","3141.0","9247.0","3420.0","945.0","1062.0","169.0","523.0","2661.0","232.0","2448.0","28.0","22.0","371.0","530.0","393.0","65350.0"
"そ　の　他_構成率","0.2070237184391737","0.40748278500382556","0.048064269319051264","0.14149961744452946","0.0523335883703137","0.014460596786534047","0.01625095638867636","0.0025860749808722266","0.008003060443764346","0.04071920428462127","0.003550114766641163","0.03745983167559296","0.0004284621270084162","0.0003366488140780413","0.005677123182861515","0.00811017597551645","0.006013771996939556","1.0"
"合計_宿泊者数","661334.0","1618848.0","258719.0","384217.0","187905.0","109241.0","66298.0","103524.0","121951.0","500464.0","69888.0","598573.0","51953.0","35036.0","106650.0","427594.0","383911.0","5686106.0"
"合計_構成率","0.11630701221538958","0.28470239562892424","0.04550020699578938","0.06757119898925557","0.033046341380199386","0.019211917611103274","0.011659648975942412","0.018206484367333287","0.02144719074881826","0.08801524276895295","0.012291012513660491","0.10526940581128807","0.009136832834280613","0.006161686046654776","0.01875624548680591","0.07519979402424085","0.06751738360136093","1.0"
