"市町村名","総　数","１月","２月","３月","４月","５月","６月","７月","８月","９月","１０月","１１月","１２月"
"田 辺 市_旧田辺市","223796.0","14228.0","13920.0","20041.0","16132.0","19095.0","14176.0","21467.0","31536.0","20781.0","22094.0","15676.0","14650.0"
"田 辺 市_旧龍神村","60682.0","2147.0","1656.0","3282.0","4939.0","7558.0","3709.0","4388.0","9752.0","6434.0","7678.0","5920.0","3219.0"
"田 辺 市_旧中辺路町","13466.0","462.0","391.0","934.0","1126.0","1709.0","905.0","1113.0","2247.0","1477.0","1288.0","1089.0","725.0"
"田 辺 市_旧大塔村","6656.0","16.0","38.0","37.0","75.0","311.0","290.0","1520.0","3539.0","729.0","64.0","29.0","8.0"
"田 辺 市_旧本宮町","138932.0","6863.0","5816.0","9114.0","10802.0","15560.0","6607.0","8475.0","21183.0","15996.0","14137.0","13904.0","10475.0"
"","27712.0","1635.0","1605.0","3707.0","1876.0","2345.0","1001.0","3054.0","4730.0","2029.0","1970.0","1936.0","1824.0"
"白 浜 町","2092119.0","134109.0","148553.0","192053.0","163349.0","175952.0","146296.0","217711.0","239739.0","180108.0","180111.0","159652.0","154486.0"
"白 浜 町_旧白浜町","2064264.0","132565.0","146762.0","190166.0","161916.0","172742.0","144785.0","215168.0","235111.0","177210.0","177493.0","157087.0","153259.0"
"白 浜 町_旧日置川町","27855.0","1544.0","1791.0","1887.0","1433.0","3210.0","1511.0","2543.0","4628.0","2898.0","2618.0","2565.0","1227.0"
"すさみ町","39819.0","2702.0","2573.0","3344.0","2653.0","3352.0","2183.0","3793.0","5584.0","3448.0","3492.0","3507.0","3188.0"
"新 宮 市","133078.0","9441.0","9550.0","12646.0","8798.0","11841.0","8080.0","9883.0","17195.0","12058.0","11424.0","11224.0","10938.0"
"新 宮 市_旧新宮市","128514.0","9384.0","9520.0","12250.0","8379.0","11232.0","7960.0","9602.0","16152.0","11472.0","10894.0","10838.0","10831.0"
"新 宮 市_旧熊野川町","4564.0","57.0","30.0","396.0","419.0","609.0","120.0","281.0","1043.0","586.0","530.0","386.0","107.0"
"那智勝浦町","665181.0","43622.0","40714.0","63074.0","48817.0","58373.0","37769.0","46168.0","89317.0","56216.0","63736.0","66094.0","51281.0"
"太 地 町","20056.0","863.0","514.0","1499.0","1128.0","1955.0","720.0","2074.0","4131.0","2005.0","1750.0","1785.0","1632.0"
"古座川町","6383.0","502.0","259.0","438.0","376.0","661.0","493.0","631.0","1148.0","612.0","482.0","387.0","394.0"
"北 山 村","7596.0","173.0","133.0","372.0","319.0","916.0","336.0","653.0","2097.0","1134.0","1081.0","258.0","124.0"
"串 本 町","297244.0","25860.0","16953.0","28254.0","20122.0","30581.0","19644.0","19295.0","37553.0","24158.0","26423.0","19661.0","28740.0"
"串 本 町_旧串本町","280524.0","24646.0","15837.0","27080.0","19357.0","28994.0","18732.0","17873.0","33887.0","22656.0","25182.0","18716.0","27564.0"
"串 本 町_旧古座町","16720.0","1214.0","1116.0","1174.0","765.0","1587.0","912.0","1422.0","3666.0","1502.0","1241.0","945.0","1176.0"
"合　　　計","5686106.0","333209.0","342286.0","484311.0","505195.0","555237.0","379060.0","506821.0","691175.0","505738.0","545732.0","446840.0","390502.0"
