"観光地区名","平成１３年","平成１４年","平成１５年","平成１６年","平成１７年","平成１８年","平成１９年","平成２０年","平成２１年","平成２２年","平成２３年","平成２４年","平成２５年","平成２６年","平成２７年"
"高野山_宿泊客","335997.0","329116.0","331777.0","374940.0","322614.0","280525.0","313131.0","318064.0","310184.0","315475.0","224891.0","260867.0","269031.0","272863.0","440422.0"
"高野山_宿泊客","1.0414830106566981","1.020154116064399","1.0284023631956456","1.1621938291580651","1.0","0.8695375898132133","0.9706057393665495","0.9858964583062111","0.9614709839002648","0.9778713880984706","0.6970900208918398","0.8086040903370592","0.8339098737190574","0.8457878455367714","1.3651670417278854"
"高野山_日帰り客","835534.0","804270.0","822458.0","1082313.0","911102.0","927501.0","934529.0","907688.0","954993.0","969540.0","951556.0","998357.0","1105017.0","1141805.0","1551478.0"
"高野山_日帰り客","0.9170586827819498","0.8827441932955915","0.9027068319463682","1.1879163913590356","1.0","1.0179990824298486","1.025712818103791","0.9962528893581619","1.0481735305157929","1.0641399096917799","1.0444011757190743","1.0957686406132354","1.2128356649420153","1.2532131418875165","1.7028587359044323"
"高野山_計","1171531.0","1133386.0","1154235.0","1457253.0","1233716.0","1208026.0","1247660.0","1225752.0","1265177.0","1285015.0","1176447.0","1259224.0","1374048.0","1414668.0","1991900.0"
"高野山_計","0.9495953687882787","0.9186765835897402","0.9355759348180619","1.1811899983464589","1.0","0.9791767311115362","1.0113024391351009","0.9935447055886444","1.0255010067146735","1.041580882472141","0.9535800783972973","1.0206757470925236","1.1137474102629779","1.1466723297744374","1.6145531062254197"
"加太友ヶ島磯ノ浦_宿泊客","134338.0","129564.0","117876.0","131596.0","127635.0","124518.0","128021.0","126026.0","116153.0","116841.0","110958.0","117581.0","130486.0","143084.0","132706.0"
"加太友ヶ島磯ノ浦_宿泊客","1.0525169428448309","1.0151134093312963","0.923539781407921","1.0310338073412466","1.0","0.9755787989187918","1.0030242488345673","0.9873937399616093","0.9100403494339327","0.9154307204136797","0.8693383476319192","0.9212285031535237","1.0223371332314803","1.121040466956556","1.0397304814510127"
"加太友ヶ島磯ノ浦_日帰り客","688600.0","634852.0","693770.0","783684.0","743807.0","930325.0","1037035.0","873213.0","862930.0","832335.0","794645.0","795778.0","775842.0","747826.0","784068.0"
"加太友ヶ島磯ノ浦_日帰り客","0.9257777891307826","0.8535171086047859","0.9327285169405505","1.0536120257002153","1.0","1.2507612861938648","1.3942259215092088","1.173977927069791","1.160153104232684","1.119020122155344","1.0683483753177907","1.0698716199229101","1.0430689681597511","1.0054032833786184","1.054128288655525"
"加太友ヶ島磯ノ浦_計","822938.0","764416.0","811646.0","915280.0","871442.0","1054843.0","1165056.0","999239.0","979083.0","949176.0","905603.0","913359.0","906328.0","890910.0","916774.0"
"加太友ヶ島磯ノ浦_計","0.9443405298344583","0.8771851712449021","0.931382696725657","1.0503051264455925","1.0","1.2104569208277773","1.3369289063414433","1.1466500352289652","1.123520555584881","1.0892015762380056","1.039200543467035","1.0481007341854076","1.040032497859869","1.0223399836133673","1.0520195262564807"
"和 歌 浦紀三井寺和歌山城 他_宿泊客","423266.0","431944.0","418202.0","443738.0","427445.0","482281.0","463473.0","453893.0","419026.0","424213.0","388916.0","459447.0","535333.0","609387.0","705948.0"
"和 歌 浦紀三井寺和歌山城 他_宿泊客","0.9902233035829171","1.0105253307443063","0.978376165354607","1.0381171846670332","1.0","1.1282878498988174","1.084286867316263","1.0618746271450128","0.9803038987472072","0.9924387932950438","0.9098620875200318","1.0748681116868837","1.2524020634233644","1.4256500836364911","1.6515528313584205"
"和 歌 浦紀三井寺和歌山城 他_日帰り客","4468094.0","4808799.0","4527964.0","4539097.0","4309123.0","4360246.0","4574529.0","4698282.0","4493486.0","4443869.0","4191600.0","4461502.0","4659000.0","4682584.0","4801998.0"
"和 歌 浦紀三井寺和歌山城 他_日帰り客","1.0368917294772044","1.1159577018339926","1.050785507863201","1.0533690962174902","1.0","1.011863898988263","1.0615916510157635","1.090310487772106","1.042784343821237","1.0312699359011104","0.972726933067355","1.0353619518403165","1.081194479711997","1.0866675191216404","1.114379422448605"
"和 歌 浦紀三井寺和歌山城 他_計","4891360.0","5240743.0","4946166.0","4982835.0","4736568.0","4842527.0","5038002.0","5152175.0","4912512.0","4868082.0","4580516.0","4920949.0","5194333.0","5291971.0","5507946.0"
"和 歌 浦紀三井寺和歌山城 他_計","1.0326802022054786","1.10644310395206","1.0442510273261145","1.0519927086447403","1.0","1.02237041672367","1.0636397492868255","1.0877443330276269","1.0371458828417537","1.0277656733736324","0.9670537824010972","1.0389271303610548","1.0966448702942722","1.1172585298047024","1.1628558905942024"
"西有田_宿泊客","126406.0","119677.0","115331.0","108115.0","96254.0","92380.0","86935.0","75056.0","70887.0","62609.0","60601.0","62764.0","58447.0","62539.0","78723.0"
"西有田_宿泊客","1.3132545140981153","1.2433457310865004","1.1981943607538388","1.123226047748665","1.0","0.9597523219814241","0.903183244332703","0.7797701913686704","0.736457705653791","0.6504560849419245","0.6295946142497975","0.6520664076298128","0.6072163234774659","0.6497288424377169","0.817867309410518"
"西有田_日帰り客","686241.0","672187.0","638092.0","671900.0","687667.0","708778.0","751734.0","751927.0","716886.0","760775.0","821617.0","880743.0","863145.0","874689.0","875362.0"
"西有田_日帰り客","0.997926321897081","0.9774891044648064","0.927908420790877","0.9770717512982301","1.0","1.030699451914953","1.0931657328328974","1.0934463919309783","1.042490042418787","1.1063130846761586","1.1947890476058907","1.2807696166894733","1.25517874203648","1.2719659370014846","1.2729446083642229"
