"年","海水浴
・川泳ぎ","キャンプ","スポーツ・
ゴルフ・
ハイキング","釣　り","花　見","観光農園","温泉・休養","祭","社寺参詣","潮干狩り","風景・
自然鑑賞","観光施設","その他","合計"
"平成元年","1.4466044057378942","1.2473800654427498","0.9730800059621948","2.249672321822484","1.0596326919811383","0.7004015985389276","0.5159207421992797","0.7164034920535585","0.9622322333706135","2.784447615165104","1.119548957246477","0.47347617177875334","0.858080941448546","0.8550468068304756"
"平成２年","1.4898726917800666","1.3405692467612311","1.0251857102008286","2.1579529138090083","1.0594472092689107","0.9168622291173669","0.5499261769303216","0.7744746700953801","0.9929869091482469","2.824373216469629","1.1618729157051448","0.553475672013845","0.8395163272501466","0.8948558868676864"
"平成３年","1.4835661085523255","1.5004024445981419","1.0739285540460792","2.1625973609272853","1.0864493122771268","1.0830592186011803","0.6305812323976636","0.8377839284749148","1.009835406766665","3.1148083978801466","1.1717891757640844","0.5712746522361999","0.8371839660145771","0.9264760591291512"
"平成４年","1.3738168996472182","1.6404936114447963","1.1047768283557118","2.1909036217061724","1.1950167848792403","1.170851212159893","0.6170030680199452","0.8872791509382973","0.9859837255658481","2.8817774154097022","1.1973206092201931","0.6063467571045165","1.0708828100311254","0.947606979058063"
"平成５年","1.0077794334423855","1.5998365953591465","1.110106680700132","2.1958512814342437","1.2420836762151077","1.0706774152371787","0.6256854778326586","0.8291493737572573","0.9761784592242608","2.700264981655116","1.1278787737297586","0.6166321761509613","0.9912025392867467","0.9143329567069907"
"平成６年","1.3518997057379558","1.7345159946448578","0.9775375831209048","2.1449548790759234","1.2597829068537167","1.370825682668421","0.6521330721164139","0.8584984397268028","0.9684644639504469","2.6105279249898086","1.1478750743028108","1.0290732723338414","0.8906488620299383","0.9963046024195201"
"平成７年","1.4560907684754614","1.9584572013315051","0.9754272399296704","2.071660851080897","1.2225243935890904","1.5355890930157203","0.756591168706444","0.8672177640730384","0.9714656688697549","3.2217947411333063","1.2383709591392906","0.9184514122860221","0.9182418161729939","1.0107867095351342"
"平成８年","1.3427773975703823","1.78217028866805","1.014518780913676","1.9836152889744516","1.2836318037540655","1.5436210637942716","0.8514271016266652","0.8395657974461016","0.9594912686956103","2.6942774154097022","1.1984232539512933","0.8655893303131854","1.1006840278228713","1.0158686907794545"
"平成９年","1.2558626029716955","1.7262891372315856","0.9726119280399589","1.9945886977098624","1.2142129393785024","1.4571251828795302","0.9008107955358804","0.8170278857942601","0.9484245697489205","2.447564207093355","1.1994246134009048","0.8319613990404147","1.0738245962379191","1.0010721213152431"
"平成１０年","1.215969983669904","1.6708973907838165","0.9503202398262446","1.9256888461075683","1.1707694920124874","1.3583653270229668","0.914315322484498","0.9361474195044106","0.9100567853980803","1.9696799836934367","1.1318490130970489","0.7738392914068547","1.0196218486788657","0.9725293822850818"
"平成１１年","1.0345174244155568","1.531967044034315","0.9360128734737085","1.875522400032086","1.1818070196063064","1.3544671700558704","0.9013714300801265","1.0117994771591365","0.8933704321034598","1.8134936812066857","1.1576307864155606","0.7664442406595868","1.410293558132745","0.9857646003543248"
"平成１２年","1.2164929656156311","1.4621317834160468","0.9629142356527083","1.8896290057353708","1.0995375994357146","1.502302563750086","0.9530805816243055","0.9853610247453355","0.9152437292915395","2.2514268242967796","1.1332695212115445","0.8064608945902102","1.0462912858963092","0.9884590856685047"
"平成１３年","1.0825553797224685","1.276085083663985","1.0109080027255748","1.8055316247543416","1.038249931423645","1.5174926111760259","0.9500195747675677","0.9201140123058192","0.9127777959953701","1.9755911129229515","1.0642726944578633","0.977939605248193","1.118954271001232","1.005039800511038"
"平成１４年","0.9914745934877968","1.2205153717657813","0.9770349031751729","1.7333108731400153","1.02095301540029","1.4390974342861071","0.974894380824731","1.0656981689191303","0.8928209275018123","2.059646351406441","1.0058767013323324","0.9948733674729112","1.1538810077301254","1.002450268832427"
"平成１５年","0.9027217019412994","0.9941332129077238","0.9171465442748948","1.0377803701711967","0.9331495487460398","1.2191385885083728","0.9497275080259935","0.8496844649581772","0.8988094363143972","1.0312845790161955","0.9032247530410645","0.952303530546997","1.3938706475000728","0.9507468522257626"
"平成１６年","1.0914898086280318","1.0210282358365792","0.9720434662253832","1.5154919183411544","1.0954752667946759","1.0660133735259174","1.0371198648206568","1.014933677721802","0.9967626950842502","1.7730075417855686","1.0558667344296329","1.06059208545098","0.8086492170067566","1.0259787814969266"
"平成１７年","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"平成１８年","1.1342388087099593","0.8950489202755229","1.0024491388278811","1.4381005093650985","0.9900296511096307","1.0209341830071776","1.0041886702317908","0.9529739063153373","0.973134694908431","0.09146962902568284","0.9268231799627543","1.0800957784747947","1.0609126752217042","1.017745069147009"
"平成１９年","1.2221305754710996","0.8372627295855427","0.9781737280144066","1.449300124333213","1.0267068981281922","1.1603546635507596","0.9804691673690068","1.0118427153589482","0.9865478817630196","0.6998827965756217","1.149209741345406","1.191226957760127","1.0577510727466788","1.0655631743997624"
"平成２０年","1.108770388749913","0.8677231342951557","0.9426724321496146","1.4588007861067662","1.0932821296550284","1.0322948067122923","0.9480006303528945","1.0106542337878086","1.0150604448084861","0.5416072156543008","1.0276332826308312","1.1170923457145803","1.1492951689963824","1.0410171096678806"
"平成２１年","1.0687237700530312","0.8546224503415724","0.977811737614757","1.4510488108129789","1.0242629674621524","1.0613591508498375","0.8939625146295088","1.0395794516144632","0.9958220626516179","0.052614145943742356","0.9823605576437164","1.139777997813161","1.1614480745393598","1.0285267967057712"
"平成２２年","1.0776612789464963","0.7694619376392883","1.0016361813967354","1.3943544699795452","1.0262157608056741","1.2358532250621055","0.8603857033653336","1.0165135787859738","0.9984629778600438","0.04820627802690583","1.0143289939893292","1.1450363698399961","1.173965095870196","1.028497336618825"
"平成２３年","0.942672801181237","0.6974142428985718","0.9038546654174449","1.1599165764248185","0.8408127277714644","0.8044440953231935","0.786784783578152","0.9359312285053522","0.8951944859766788","0.04874133713819812","0.7529716634670813","1.0406288659433918","1.1794609835743857","0.9172625248795748"
"平成２４年","0.9900085192465364","0.67086907809852","0.9502141523036582","1.1824521718204788","0.8738534686573403","0.9766110581974216","0.7998590369214357","1.009365621648684","0.9262996837348452","0.04815532001630656","0.8302340156920353","1.1006328089415292","1.3417209834108463","0.9685257332198816"
